binder,min_dist_to_exosite_drug,nearest_ref
L010016,0.39,7POO
L010039,0.15,7POQ
L010061,0.09,7POO
L010069,0.24,7POO
L010078,0.3,7POL
L010087,0.33,7POO
L010099,0.19,7POQ
L010123,0.25,7POO
L010128,0.26,7POO
L010144,0.19,7POO
L010167,0.2,7POQ
L010210,0.18,7POO
L010223,0.11,7POO
L010281,0.23,7POO
L010307,0.12,7POO
L010309,0.46,7POL
L010316,0.14,7POQ
L010319,0.11,7POO
L010322,0.17,7POL
L010327,0.2,7POO
L010331,0.09,7POL
L010337,0.27,7POU
L010356,0.17,7POO
L010363,0.24,7POU
L010365,0.24,7POU
L010397,0.3,7POO
L010412,0.52,7POQ
L010432,0.29,7POL
L010443,0.23,7POL
L010462,0.13,7POU
L010537,0.26,7POQ
L010547,0.17,7POU
L010552,0.24,7POL
L010553,0.13,7POO
L010589,0.19,7POL
L010594,0.26,7POO
L010621,22.7,7POL
L010626,0.2,7POO
L010630,0.16,7POQ
L010639,0.11,7POQ
L010649,0.31,7POL
L010662,0.31,7POQ
L010669,0.18,7POO
L010685,0.18,7POL
L010695,0.38,7POO
L010702,0.22,7POO
L010712,0.27,7POU
L010728,0.21,7POU
L010738,0.06,7POU
L010761,0.05,7POL
L010770,0.24,7POQ
L010782,0.24,7POL
L010801,0.24,7POL
L010807,0.24,7POL
L010886,0.1,7POU
L010888,0.26,7POO
L010906,0.19,7POO
L010912,0.17,7POL
L010918,0.15,7POL
L010919,0.17,7POO
L010930,0.41,7POL
L010939,0.17,7POQ
L010943,0.4,7POL
L010984,0.19,7POU
L010993,28.9,7POL
L011019,0.41,7POL
L011043,0.23,7POL
L011057,0.08,7POO
L011070,0.26,7POL
L011110,0.24,7POU
L011124,0.05,7POO
L011140,0.05,7POQ
L011159,0.33,7POU
L011160,0.04,7POO
L011166,0.17,7POL
L011167,0.2,7POU
L011177,0.3,7POU
L011179,0.2,7POQ
L011199,0.13,7POO
L011207,0.28,7POQ
