pocket_id,ligand_cluster_id,member_rank,rep_cif,valid,failed
L010016,0,1,/path/to/L01/binders/L010016/results/pt2/seed_1/sample_2/model.cif,True,
L010016,1,1,/path/to/L01/binders/L010016/results/pt2/seed_1/sample_2/model.cif,True,
L010039,0,1,/path/to/L01/binders/L010039/results/af3/seed_1/sample_1/model.cif,True,
L010061,0,1,/path/to/L01/binders/L010061/results/pt2/seed_4/sample_2/model.cif,True,
L010061,1,1,/path/to/L01/binders/L010061/results/pt2/seed_4/sample_2/model.cif,True,
L010069,0,1,/path/to/L01/binders/L010069/results/pt2/seed_2/sample_0/model.cif,True,
L010078,0,1,/path/to/L01/binders/04c_refined/L010078.cif,True,
L010078,1,1,/path/to/L01/binders/04c_refined/L010078.cif,True,
L010087,0,1,/path/to/L01/binders/L010087/results/pt2/seed_2/sample_0/model.cif,True,
L010099,0,1,/path/to/L01/binders/L010099/results/bt2/seed_1/sample_0/model.cif,True,
L010099,1,1,/path/to/L01/binders/L010099/results/bt2/seed_1/sample_0/model.cif,True,
L010123,0,1,/path/to/L01/binders/L010123/results/pt2/seed_1/sample_1/model.cif,True,
L010128,0,1,/path/to/L01/binders/04c_refined/L010128.cif,True,
L010128,1,1,/path/to/L01/binders/04c_refined/L010128.cif,True,
L010144,0,1,/path/to/L01/binders/L010144/results/pt2/seed_2/sample_0/model.cif,True,
L010167,0,1,/path/to/L01/binders/L010167/results/pt2/seed_5/sample_0/model.cif,True,
L010167,1,1,/path/to/L01/binders/L010167/results/pt2/seed_5/sample_0/model.cif,True,
L010210,0,1,/path/to/L01/binders/L010210/results/pt2/seed_4/sample_0/model.cif,True,
L010223,0,1,/path/to/L01/binders/L010223/results/bt2/seed_3/sample_0/model.cif,True,
L010223,1,1,/path/to/L01/binders/L010223/results/bt2/seed_3/sample_0/model.cif,True,
L010281,0,1,/path/to/L01/binders/04d_mmff/L010281.cif,True,
L010307,0,1,/path/to/L01/binders/L010307/results/bt2/seed_2/sample_0/model.cif,True,
L010307,1,1,/path/to/L01/binders/L010307/results/bt2/seed_2/sample_0/model.cif,True,
L010309,0,1,/path/to/L01/binders/L010309/results/pt2/seed_6/sample_0/model.cif,True,
L010316,0,1,/path/to/L01/binders/L010316/results/bt2/seed_5/sample_0/model.cif,True,
L010316,1,1,/path/to/L01/binders/L010316/results/bt2/seed_5/sample_0/model.cif,True,
L010319,0,1,/path/to/L01/binders/L010319/results/pt2/seed_4/sample_4/model.cif,True,
L010322,0,1,/path/to/L01/binders/L010322/results/pt2/seed_2/sample_0/model.cif,True,
L010327,0,1,/path/to/L01/binders/L010327/results/bt2/seed_4/sample_0/model.cif,True,
L010327,1,1,/path/to/L01/binders/L010327/results/bt2/seed_4/sample_0/model.cif,True,
L010331,0,1,/path/to/L01/binders/L010331/results/pt2/seed_1/sample_0/model.cif,True,
L010337,0,1,/path/to/L01/binders/L010337/results/pt2/seed_6/sample_0/model.cif,True,
L010356,0,1,/path/to/L01/binders/L010356/results/bt2/seed_4/sample_0/model.cif,True,
L010356,1,1,/path/to/L01/binders/L010356/results/bt2/seed_4/sample_0/model.cif,True,
L010363,0,1,/path/to/L01/binders/L010363/results/pt2/seed_6/sample_0/model.cif,True,
L010365,0,1,/path/to/L01/binders/L010365/results/pt2/seed_5/sample_0/model.cif,True,
L010397,0,1,/path/to/L01/binders/L010397/results/pt2/seed_5/sample_0/model.cif,True,
L010412,0,1,/path/to/L01/binders/L010412/results/af3/seed_3/sample_4/model.cif,True,
L010432,0,1,/path/to/L01/binders/L010432/results/pt2/seed_2/sample_0/model.cif,True,
L010443,0,1,/path/to/L01/binders/04d_mmff/L010443.cif,False,minimum_distance_to_protein
L010443,1,1,/path/to/L01/binders/04d_mmff/L010443.cif,True,
L010462,0,1,/path/to/L01/binders/L010462/results/pt2/seed_4/sample_0/model.cif,True,
L010462,1,1,/path/to/L01/binders/L010462/results/pt2/seed_4/sample_0/model.cif,True,
