binder,MODEL1,n_copies,coverage,n_in_top,ligand_iptm,has_clash,cif
L010016,seed1/model.cif,2,2/2,2,0.4818,False,/path/to/L01/binders/L010016/results/pt2/seed_1/sample_2/model.cif
L010039,seed1/model.cif,1,1/1,1,0.65,False,/path/to/L01/binders/L010039/results/af3/seed_1/sample_1/model.cif
L010061,seed4/model.cif,2,2/2,2,0.4852,False,/path/to/L01/binders/L010061/results/pt2/seed_4/sample_2/model.cif
L010069,seed2/model.cif,1,1/1,1,0.6606,False,/path/to/L01/binders/L010069/results/pt2/seed_2/sample_0/model.cif
L010078,seed5/model.cif,2,2/2,2,0.5484,False,/path/to/L01/binders/04c_refined/L010078.cif
L010087,seed2/model.cif,1,1/1,1,0.6438,False,/path/to/L01/binders/L010087/results/pt2/seed_2/sample_0/model.cif
L010099,seed1/model.cif,2,2/2,2,0.5905,False,/path/to/L01/binders/L010099/results/bt2/seed_1/sample_0/model.cif
L010123,seed1/model.cif,1,1/1,1,0.6391,False,/path/to/L01/binders/L010123/results/pt2/seed_1/sample_1/model.cif
L010128,seed4/model.cif,2,2/2,2,0.43,False,/path/to/L01/binders/04c_refined/L010128.cif
L010144,seed2/model.cif,1,1/1,1,0.6494,False,/path/to/L01/binders/L010144/results/pt2/seed_2/sample_0/model.cif
L010167,seed5/model.cif,2,2/2,2,0.4748,False,/path/to/L01/binders/L010167/results/pt2/seed_5/sample_0/model.cif
L010210,seed4/model.cif,1,1/1,1,0.6601,False,/path/to/L01/binders/L010210/results/pt2/seed_4/sample_0/model.cif
L010223,seed3/model.cif,2,2/2,2,0.5794,False,/path/to/L01/binders/L010223/results/bt2/seed_3/sample_0/model.cif
L010281,seed2/model.cif,1,1/1,1,0.6477,False,/path/to/L01/binders/04d_mmff/L010281.cif
L010307,seed2/model.cif,2,2/2,2,0.4932,False,/path/to/L01/binders/L010307/results/bt2/seed_2/sample_0/model.cif
L010309,seed6/model.cif,1,1/1,1,0.6556,False,/path/to/L01/binders/L010309/results/pt2/seed_6/sample_0/model.cif
L010316,seed5/model.cif,2,2/2,2,0.504,False,/path/to/L01/binders/L010316/results/bt2/seed_5/sample_0/model.cif
L010319,seed4/model.cif,1,1/1,1,0.6096,False,/path/to/L01/binders/L010319/results/pt2/seed_4/sample_4/model.cif
L010322,seed2/model.cif,1,1/1,1,0.6659,False,/path/to/L01/binders/L010322/results/pt2/seed_2/sample_0/model.cif
L010327,seed4/model.cif,2,2/2,2,0.4767,False,/path/to/L01/binders/L010327/results/bt2/seed_4/sample_0/model.cif
L010331,seed1/model.cif,1,1/1,1,0.6479,False,/path/to/L01/binders/L010331/results/pt2/seed_1/sample_0/model.cif
L010337,seed6/model.cif,1,1/1,1,0.6513,False,/path/to/L01/binders/L010337/results/pt2/seed_6/sample_0/model.cif
L010356,seed4/model.cif,2,2/2,2,0.5146,False,/path/to/L01/binders/L010356/results/bt2/seed_4/sample_0/model.cif
L010363,seed6/model.cif,1,1/1,1,0.6557,False,/path/to/L01/binders/L010363/results/pt2/seed_6/sample_0/model.cif
L010365,seed5/model.cif,1,1/1,1,0.6466,False,/path/to/L01/binders/L010365/results/pt2/seed_5/sample_0/model.cif
L010397,seed5/model.cif,1,1/1,1,0.6373,False,/path/to/L01/binders/L010397/results/pt2/seed_5/sample_0/model.cif
L010412,seed3/model.cif,1,1/1,1,0.6,False,/path/to/L01/binders/L010412/results/af3/seed_3/sample_4/model.cif
L010432,seed2/model.cif,1,1/1,1,0.6501,False,/path/to/L01/binders/L010432/results/pt2/seed_2/sample_0/model.cif
L010443,seed2/model.cif,2,2/2,2,0.5092,False,/path/to/L01/binders/L010443/results/pt2/seed_2/sample_0/model.cif
L010462,seed4/model.cif,4,4/4,4,0.3355,False,/path/to/L01/binders/L010462/results/pt2/seed_4/sample_0/model.cif
L010537,seed4/model.cif,2,2/2,2,0.4691,False,/path/to/L01/binders/L010537/results/pt2/seed_4/sample_0/model.cif
L010547,seed2/model.cif,1,1/1,1,0.6383,False,/path/to/L01/binders/L010547/results/pt2/seed_2/sample_0/model.cif
L010552,seed3/model.cif,1,1/1,1,0.7004,False,/path/to/L01/binders/L010552/results/pt2/seed_3/sample_1/model.cif
L010553,seed2/model.cif,1,1/1,1,0.6551,False,/path/to/L01/binders/L010553/results/pt2/seed_2/sample_0/model.cif
L010589,seed4/model.cif,3,3/3,3,0.3995,False,/path/to/L01/binders/L010589/results/bt2/seed_4/sample_2/model.cif
L010594,seed5/model.cif,2,2/2,2,0.4688,False,/path/to/L01/binders/L010594/results/pt2/seed_5/sample_0/model.cif
L010621,seed2/model.cif,1,1/1,1,0.6887,False,/path/to/L01/binders/04d_mmff/L010621.cif
L010626,seed1/model.cif,1,1/1,1,0.6494,False,/path/to/L01/binders/L010626/results/pt2/seed_1/sample_0/model.cif
L010630,seed3/model.cif,2,2/2,2,0.4762,False,/path/to/L01/binders/L010630/results/pt2/seed_3/sample_0/model.cif
L010639,seed5/model.cif,2,2/2,2,0.5147,False,/path/to/L01/binders/04c_refined/L010639.cif
L010649,seed2/model.cif,2,2/2,2,0.6177,False,/path/to/L01/binders/L010649/results/bt2/seed_2/sample_0/model.cif
L010662,seed5/model.cif,2,2/2,2,0.4647,False,/path/to/L01/binders/L010662/results/bt2/seed_5/sample_0/model.cif
L010669,seed6/model.cif,2,2/2,2,0.5433,False,/path/to/L01/binders/L010669/results/bt2/seed_6/sample_0/model.cif
L010685,seed3/model.cif,2,2/2,2,0.5804,False,/path/to/L01/binders/L010685/results/bt2/seed_3/sample_0/model.cif
L010695,seed2/model.cif,1,1/1,1,0.6347,False,/path/to/L01/binders/04d_mmff/L010695.cif
L010702,seed1/model.cif,2,2/2,2,0.46,False,/path/to/L01/binders/L010702/results/pt2/seed_1/sample_4/model.cif
L010712,seed5/model.cif,2,2/2,2,0.4776,False,/path/to/L01/binders/L010712/results/pt2/seed_5/sample_1/model.cif
L010728,seed3/model.cif,2,2/2,2,0.4741,False,/path/to/L01/binders/L010728/results/bt2/seed_3/sample_3/model.cif
L010738,seed4/model.cif,1,1/1,1,0.6439,False,/path/to/L01/binders/L010738/results/pt2/seed_4/sample_0/model.cif
L010761,seed5/model.cif,2,2/2,2,0.4689,False,/path/to/L01/binders/04c_refined/L010761.cif
L010770,seed6/model.cif,2,2/2,2,0.475,False,/path/to/L01/binders/04d_mmff/L010770.cif
L010782,seed1/model.cif,3,3/3,3,0.4906,False,/path/to/L01/binders/L010782/results/bt2/seed_1/sample_0/model.cif
L010801,seed2/model.cif,1,1/1,1,0.6511,False,/path/to/L01/binders/L010801/results/pt2/seed_2/sample_1/model.cif
L010807,seed3/model.cif,2,2/2,2,0.4999,False,/path/to/L01/binders/L010807/results/bt2/seed_3/sample_1/model.cif
L010886,seed6/model.cif,2,2/2,2,0.4335,False,/path/to/L01/binders/L010886/results/af3/seed_5/sample_0/model.cif
L010888,seed1/model.cif,1,1/1,1,0.6567,False,/path/to/L01/binders/L010888/results/pt2/seed_1/sample_0/model.cif
L010906,seed1/model.cif,1,1/1,1,0.6445,False,/path/to/L01/binders/L010906/results/pt2/seed_1/sample_0/model.cif
L010912,seed1/model.cif,1,1/1,1,0.6611,False,/path/to/L01/binders/L010912/results/pt2/seed_1/sample_0/model.cif
L010918,seed6/model.cif,1,1/1,1,0.6578,False,/path/to/L01/binders/L010918/results/pt2/seed_6/sample_0/model.cif
L010919,seed4/model.cif,2,2/2,2,0.4783,False,/path/to/L01/binders/L010919/results/pt2/seed_4/sample_1/model.cif
L010930,seed5/model.cif,2,2/2,2,0.4764,False,/path/to/L01/binders/04c_refined/L010930.cif
L010939,seed5/model.cif,1,1/1,1,0.6918,False,/path/to/L01/binders/L010939/results/pt2/seed_5/sample_0/model.cif
L010943,seed4/model.cif,2,2/2,2,0.4592,False,/path/to/L01/binders/L010943/results/pt2/seed_4/sample_0/model.cif
L010984,seed4/model.cif,2,2/2,2,0.4646,False,/path/to/L01/binders/L010984/results/pt2/seed_4/sample_0/model.cif
L010993,seed1/model.cif,1,1/1,1,0.6067,False,/path/to/L01/binders/L010993/results/af3/seed_1/sample_3/model.cif
L011019,seed6/model.cif,1,1/1,1,0.6368,False,/path/to/L01/binders/L011019/results/pt2/seed_6/sample_3/model.cif
